"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Shortening cake mix, soybean (hydrogenated) and cottonseed (hydrogenated)","884","0","0","100"
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)","884","0","0","100"
"Shortening frying (heavy duty), beef tallow and cottonseed","900","0","0","100"
"Shortening household soybean (hydrogenated) and palm","884","0","0","100"
"Shortening industrial, lard and vegetable oil","900","0","0","100"
"Shortening, confectionery, fractionated palm","884","0","0","100"
"Shrimp and noodles with cheese sauce","136","8.18","13.45","5.37"
"Shrimp and noodles with cream or white sauce","143","7.14","16.25","5.32"
"Shrimp and noodles with gravy","131","6.02","14.7","5.18"
"Shrimp and noodles with mushroom sauce","133","6.31","15.05","5.24"
"Shrimp and noodles with soy-based sauce","141","10.22","8.17","7.25"
"Shrimp and noodles with tomato sauce","134","6.46","15.39","5.22"
"Shrimp and noodles, no sauce","146","7.3","16.43","5.5"
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","124","9.25","6.78","6.87"
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","118","9.47","4.86","6.64"
"Shrimp and vegetables in sauce with noodles, diet frozen meal","91","5.29","13.45","1.72"
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","118","9.35","3.8","7.25"
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","116","9.16","5.15","6.4"
"Shrimp chips","426","7.14","59.09","17.86"
"Shrimp chow mein or chop suey with noodles","117","9.05","11.37","4.03"
"Shrimp chow mein or chop suey, no noodles","69","8.8","4.27","1.69"
"Shrimp cocktail","99","13.24","7.92","1.22"
"Shrimp creole, no rice","124","14.33","4.51","5.16"
"Shrimp creole, with rice","123","10.12","11.92","3.64"
"Shrimp egg foo yung","125","11.69","5.2","6.16"
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing","65","8.28","2.77","2.04"
"Shrimp gumbo","61","6.52","4.63","1.89"
"Shrimp in garlic sauce, Puerto Rican style","281","11.56","2.45","24.96"
"Shrimp salad","196","10.68","1.27","16.2"
"Shrimp scampi","192","15.41","2.27","12.98"
"Shrimp shish kabob with vegetables, excluding potatoes","83","11.23","5.74","1.59"
"Shrimp teriyaki","120","21.62","3.34","1.56"
"Shrimp toast","222","8.46","12.01","15.42"
"Shrimp with crab stuffing","174","16.39","6.16","9.01"
"Shrimp with lobster sauce","151","16.78","2.16","7.85"
"Shrimp, baked or broiled","129","16.92","1.14","5.79"
"Shrimp, baked or broiled, coated","154","15.55","8.74","5.91"
"Shrimp, cake or patty","218","13.93","5.26","15.34"
"Shrimp, canned","100","20.42","0","1.36"
"Shrimp, dried","250","51.05","0","3.4"
"Shrimp, fried","218","12.26","12.41","12.94"
"Shrimp, grilled","110","17.26","1.16","3.55"
"Shrimp, NFS","146","15.46","4.9","6.67"
"Shrimp, steamed or boiled","90","17.19","1.15","1.28"
"SILK Banana-Strawberry soy yogurt","88","2.35","17.06","1.18"
"SILK Black Cherry soy yogurt","88","2.35","17.06","1.18"
"SILK Blueberry soy yogurt","88","2.35","17.06","1.18"
"SILK Chai, soymilk","53","2.47","7.82","1.44"
"SILK Chocolate, soymilk","58","2.06","9.47","1.44"
"SILK Coffee, soymilk","62","2.06","10.29","1.44"
"SILK French Vanilla Creamer","133","0","20","6.67"
"SILK Hazelnut Creamer","133","0","20","6.67"
"SILK Key Lime soy yogurt","88","2.35","17.65","1.18"
"SILK Light Chocolate, soymilk","49","2.06","9.05","0.62"
"SILK Light Plain, soymilk","29","2.47","3.29","0.82"
"SILK Light Vanilla, soymilk","33","2.47","4.12","0.82"
"SILK Mocha, soymilk","58","2.06","9.05","1.44"
"SILK Nog, soymilk","74","2.46","12.3","1.64"
"SILK Original Creamer","100","0","6.67","6.67"
"SILK Peach soy yogurt","94","2.35","18.82","1.18"
"SILK Plain soy yogurt","66","2.64","9.69","1.76"
"SILK Plain, soymilk","41","2.88","3.29","1.65"
"SILK Plus Fiber, soymilk","41","2.47","5.76","1.44"
"SILK Plus for Bone Health, soymilk","41","2.47","4.53","1.44"
"SILK Plus Omega-3 DHA, soymilk","45","2.88","3.29","2.06"
"SILK Raspberry soy yogurt","88","2.35","17.65","1.18"
"SILK Strawberry soy yogurt","94","2.35","18.24","1.18"
"SILK Unsweetened, soymilk","33","2.88","1.65","1.65"
"SILK Vanilla soy yogurt (family size)","79","2.64","13.66","1.76"
"SILK Vanilla soy yogurt (single serving size)","88","2.94","14.71","1.76"
"SILK Vanilla, soymilk","41","2.47","4.12","1.44"
"SILK Very Vanilla, soymilk","53","2.47","7.82","1.65"
"Simple syrup","184","0","45.58","0.15"
"Singapore Sling","93","0.12","7.25","0.04"
"Sloe gin fizz","66","0.03","2.22","0.01"
"Sloppy joe sandwich, on wheat bun","180","11.85","18.43","6.44"
"Sloppy joe sandwich, on white bun","185","11.32","19.95","6.42"
"Sloppy joe, no bun","140","12.06","5.48","7.63"
"Slush frozen drink","28","0","7.68","0.02"
"Slush frozen drink, no sugar added","11","0","3.11","0.01"
"SMART SOUP, French Lentil","53","2.9","9.5","1.06"
"SMART SOUP, Greek Minestrone","40","1.7","8.4","0.53"
"SMART SOUP, Santa Fe Corn Chowder","55","2","11.2","0.71"
"SMART SOUP, Thai Coconut Curry","36","0.8","6.5","1.06"
"Smelt, dried (Alaska Native)","386","56.19","0","17.9"
"Snack bar, oatmeal","389","6.67","75.47","6.67"
"Snack cake, chocolate","399","3.63","60.31","15.93"
"Snack cake, white","374","3.47","64.03","11.54"
"Snack mix","504","6.87","63.11","25.79"
"Snack mix, plain (Chex Mix)","417","8.74","72.2","10.34"
"Snack, BALANCE, original bar","415","28","48.73","12"
"Snack, Mixed Berry Bar","383","13.16","58.84","10.53"
"Snack, potato chips, made from dried potatoes, plain","545","4.62","55.38","35.28"
"Snack, Pretzel, hard chocolate coated","467","7.05","70.07","17.64"
"Snacks, bagel chips, plain","451","12.34","66.36","15.14"
"Snacks, banana chips","519","2.3","58.4","33.6"
"Snacks, beef jerky, chopped and formed","410","33.2","11","25.6"
"Snacks, beef sticks, smoked","550","21.5","5.4","49.6"
"Snacks, brown rice chips","384","8.2","81.5","2.8"
"Snacks, candy bits, yogurt covered with vitamin C","415","0","86.9","7.5"
"Snacks, candy rolls, yogurt-covered, fruit flavored with high vitamin C","359","0.46","74.64","6.53"
"Snacks, CLIF BAR, mixed flavors","346","14.71","65.44","5.88"
"Snacks, corn cakes","387","8.1","83.4","2.4"
"Snacks, corn-based, extruded, chips, barbecue-flavor","523","7","56.2","32.7"
"Snacks, corn-based, extruded, chips, plain","539","6.17","57.27","33.36"
"Snacks, corn-based, extruded, cones, plain","510","5.8","62.9","26.9"
"Snacks, corn-based, extruded, onion-flavor","499","7.7","65.1","22.6"
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor","567","5.46","54.54","36.54"
"Snacks, cornnuts, barbecue-flavor","436","9","71.7","14.3"
"Snacks, crisped rice bar, almond","458","7","64.6","20.4"
"Snacks, crisped rice bar, chocolate chip","404","5.1","73","13.5"
"Snacks, FARLEY CANDY, FARLEY Fruit Snacks, with vitamins A, C, and E","341","4.4","80.9","0"
"Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor","491","7.95","67.26","21.11"
"Snacks, fruit leather, pieces","359","1","82.82","2.68"
"Snacks, fruit leather, pieces, with vitamin C","373","0.1","85.2","3.5"
"Snacks, granola bar, chewy, reduced sugar, all flavors","412","5.55","69.4","12.5"
"Snacks, granola bar, fruit-filled, nonfat","342","5.9","77.6","0.9"
"Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut","487","9.14","61.14","22.86"
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX","415","5.71","72.27","11.43"
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating","423","5.71","74.29","11.43"
"Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors","390","16.67","63.42","7.69"
"Snacks, granola bar, KASHI GOLEAN, crunchy, mixed flavors","393","17.88","59.58","9.23"
"Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors","429","18.57","53.26","15.71"
"Snacks, granola bar, QUAKER, chewy, 90 Calorie Bar","408","4.17","79.17","8.33"
"Snacks, granola bar, with coconut, chocolate coated","531","5.2","55.2","32.2"
"Snacks, granola bars, hard, almond","495","7.7","62","25.5"
"Snacks, granola bars, hard, chocolate chip","438","7.3","72.1","16.3"
"Snacks, granola bars, hard, peanut butter","483","9.8","62.3","23.8"
"Snacks, granola bars, hard, plain","471","10.1","64.4","19.8"
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors","389","6.67","75.47","6.67"
"Snacks, granola bars, soft, almond, confectioners coating","455","8.6","60.13","20"
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","466","5.8","63.8","24.9"
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","508","10.2","53.4","31.1"
"Snacks, granola bars, soft, uncoated, chocolate chip","418","5.65","70.2","16.57"
"Snacks, granola bars, soft, uncoated, chocolate chip, graham and marshmallow","427","6.1","70.8","15.5"
"Snacks, granola bars, soft, uncoated, peanut butter","426","10.5","64.4","15.8"
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","432","9.8","62.2","20"
"Snacks, granola bars, soft, uncoated, plain","443","7.4","67.3","17.2"
"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar","390","8","78","7.4"
"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares","417","3.4","80.5","9"
"Snacks, KELLOGG, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit","365","4.22","67.61","8.67"
"Snacks, KRAFT, CORNNUTS, plain","446","8.5","71.86","15.64"
"Snacks, M&M MARS, COMBOS Snacks Cheddar Cheese Pretzel","463","9.85","66.5","16.92"
"Snacks, M&M MARS, KUDOS Whole Grain Bar, M&M's milk chocolate","415","3.78","73.01","11.95"
"Snacks, M&M MARS, KUDOS Whole Grain Bars, peanut butter","463","5.88","64.69","20.78"
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR","403","9.38","66.72","10.93"
"Snacks, oriental mix, rice-based","506","17.31","51.62","25.58"
"Snacks, peas, roasted, wasabi-flavored","432","14.11","62.2","14.11"
"Snacks, pita chips, salted","457","11.79","68.26","15.2"
"Snacks, plantain chips, salted","531","2.28","63.84","29.59"
"Snacks, popcorn, air-popped","387","12.94","77.78","4.54"
"Snacks, popcorn, cakes","384","9.7","80.1","3.1"
"Snacks, popcorn, caramel-coated, with peanuts","400","6.4","80.7","7.8"
"Snacks, popcorn, caramel-coated, without peanuts","431","3.8","79.1","12.8"
"Snacks, popcorn, cheese-flavor","526","9.3","51.6","33.2"
"Snacks, popcorn, home-prepared, oil-popped, unsalted","500","9","58.1","28.1"
"Snacks, popcorn, microwave, 94% fat free","402","10.72","76.04","6.1"
"Snacks, popcorn, microwave, low fat","424","12.6","72","9.5"
"Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil","557","7.5","55.16","34.02"
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","583","7.29","45.06","43.55"
"Snacks, pork skins, barbecue-flavor","538","57.9","1.6","31.8"
"Snacks, pork skins, plain","544","61.3","0","31.3"
"Snacks, potato chips, barbecue-flavor","487","6.51","55.92","31.06"
"Snacks, potato chips, fat free, salted","379","9.64","83.76","0.6"
"Snacks, potato chips, fat-free, made with olestra","274","7.74","65","0.7"
"Snacks, potato chips, made from dried potatoes (preformed), multigrain","505","5.3","65.34","24.74"
"Snacks, potato chips, made from dried potatoes, cheese-flavor","551","7","50.6","37"
"Snacks, potato chips, made from dried potatoes, fat-free, made with olestra","253","5.06","56","0.93"
"Snacks, potato chips, made from dried potatoes, reduced fat","502","4.56","64.76","26.14"
"Snacks, potato chips, sour-cream-and-onion-flavor","531","8.1","51.5","33.9"
"Snacks, potato chips, white, restructured, baked","469","5","71.4","18.2"
"Snacks, Pretzels, gluten- free made with cornstarch and potato flour","389","3.52","78.62","6.67"
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","457","7.5","70.9","16.7"
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted","362","11.1","81.3","2.6"
"Snacks, sesame sticks, wheat-based, salted","541","10.9","46.5","36.7"
"Snacks, shrimp cracker","426","7.14","59.09","17.86"
"Snacks, soy chips or crisps, salted","385","26.5","53.15","7.35"
"Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E","342","0.6","82.7","1"
"Snacks, sweet potato chips, unsalted","532","2.94","56.82","32.35"
"Snacks, taro chips","498","2.3","68.1","24.9"
"Snacks, tortilla chips, light (baked with less oil)","465","8.7","73.4","15.2"
"Snacks, tortilla chips, low fat, made with olestra, nacho cheese","318","8.44","65.22","3.53"
"Snacks, tortilla chips, low fat, unsalted","416","11","80.1","5.7"
"Snacks, tortilla chips, nacho cheese","519","7.36","60.81","27.42"
"Snacks, trail mix, regular","462","13.8","44.9","29.4"
"Snacks, trail mix, regular, with chocolate chips, salted nuts and seeds","484","14.2","44.9","31.9"
"Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS","517","4.13","57.97","29.81"
"Snacks, vegetable chips, made from garden vegetables","473","5.32","60.43","23.3"
"Snacks, yucca (cassava) chips, salted","515","1.34","69.23","25.91"
"Snow cone","128","0.4","32.6","0"
"Snow cone, no sugar added","24","0","5.92","0"
"Snowpeas, fresh, cooked, fat added","66","2.83","7.62","2.85"
"Snowpeas, fresh, cooked, no added fat","44","2.91","7.84","0.21"
"Snowpeas, frozen, cooked, fat added","73","3.4","8.74","2.91"
"Snowpeas, frozen, cooked, no added fat","52","3.49","8.99","0.38"
"Soft drink, chocolate flavored","42","0","10.7","0"
"Soft drink, chocolate flavored, diet","2","0.11","0.29","0.03"
"Soft drink, cream soda","51","0","13.3","0"
"Soft drink, ginger ale","34","0","8.76","0"
"Soft serve, blended with candy or cookies, from fast food","176","4","26.18","6.06"
"Sopaipilla with syrup or honey","361","4.38","51.7","16.25"
"Sopaipilla, without syrup or honey","367","5.79","41.46","20.18"
"Sorbet","110","0.79","27.12","0.05"
"Sorghum flour, refined, unenriched","357","9.53","76.85","1.24"
"Sorghum flour, whole-grain","359","8.43","76.64","3.34"
"Sorghum grain","329","10.62","72.09","3.46"
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve","81","4.19","13.66","1.03"
"Soup, bean with bacon, condensed, single brand","117","6.5","18","2.1"
"Soup, bean with frankfurters, canned, condensed","142","7.6","16.75","5.31"
"Soup, bean with frankfurters, canned, prepared with equal volume water","75","3.99","8.8","2.79"
"Soup, bean with ham, canned, chunky, ready-to-serve","95","5.19","11.16","3.5"
"Soup, bean with pork, canned, condensed","129","5.88","16.97","4.42"
"Soup, bean, canned, reduced sodium","47","2.45","8.12","0.68"
"Soup, bean, with meat","84","5.88","10","2.35"
"Soup, beef and vegetables, reduced sodium, canned, ready-to-serve","42","3.26","4.99","0.95"
"Soup, beef broth bouillon and consomme, canned, condensed","11","2.52","0.32","0"
"Soup, beef broth or bouillon canned, ready-to-serve","7","1.14","0.04","0.22"
"Soup, beef broth or bouillon, powder, dry","213","15.97","17.4","8.89"
"Soup, beef broth, cubed, dry","170","17.3","16.1","4"
"Soup, beef mushroom, canned, condensed","61","4.6","5.2","2.4"
"Soup, beef mushroom, canned, prepared with equal volume water","30","2.37","2.6","1.23"
"Soup, beef stroganoff, canned, chunky style, ready-to-serve","98","5.1","9","4.6"
"Soup, black bean, canned, condensed","91","4.83","15.42","1.32"
"Soup, bouillabaisse","67","8.25","1.59","3.05"
"Soup, bouillon cubes and granules, low sodium, dry","438","16.7","64.88","13.89"
"Soup, broccoli cheese","82","4.26","6.08","4.54"
"Soup, broccoli cheese, canned, condensed, commercial","87","2.1","7.7","5.3"
"Soup, cheese, canned, condensed","82","0.8","11.3","3.92"
"Soup, cheese, canned, prepared with equal volume milk","92","3.77","6.47","5.8"
"Soup, cheese, canned, prepared with equal volume water","63","2.19","4.26","4.24"
"Soup, chicken and vegetable, canned, ready-to-serve","33","1.97","4.68","0.73"
"Soup, chicken broth cubes, dry","198","14.6","23.5","4.7"
"Soup, chicken broth or bouillon, dry","267","16.66","18.01","13.88"
"Soup, chicken broth, canned, condensed","31","4.42","0.75","1.04"
"Soup, chicken gumbo, canned, condensed","45","2.1","6.67","1.14"
"Soup, chicken noodle, dry, mix","377","15.42","62.32","6.51"
"Soup, chicken noodle, reduced sodium, canned, ready-to-serve","41","3.29","3.84","1.34"
"Soup, chicken rice, canned, chunky, ready-to-serve","53","5.11","5.41","1.33"
"Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve","65","1.16","5.2","4.46"
"Soup, chicken with rice, canned, condensed","68","1.84","11.57","1.56"
"Soup, chicken, canned, chunky, ready-to-serve","71","5.06","6.88","2.64"
"Soup, chili beef, canned, condensed","117","5.09","18.86","2.53"
"Soup, chunky beef, canned, ready-to-serve","66","3.97","10.08","1.11"
"Soup, chunky vegetable, canned, ready-to-serve","39","1.14","7.9","0.36"
"Soup, chunky vegetable, reduced sodium, canned, ready-to-serve","50","1.16","10.28","0.51"
"Soup, clam chowder, manhattan, canned, prepared with equal volume water","30","0.85","4.77","0.86"
"Soup, clam chowder, new england, canned, ready-to-serve","79","2.61","8.28","3.94"
"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve","70","2.33","5.68","4.23"
"Soup, cream of chicken, canned, condensed, reduced sodium","58","1.8","9.5","1.3"
"Soup, cream of mushroom, canned, condensed, reduced sodium","52","1.21","8.1","1.69"
"Soup, cream of onion, canned, condensed","88","2.2","10.4","4.2"
"Soup, cream of potato, canned, condensed","74","1.51","12.79","1.88"
"Soup, cream of vegetable, dry, powder","446","8","52.1","24.1"
"Soup, fish, homemade (Alaska Native)","72","7.4","5.6","2.2"
"Soup, lentil, with meat","78","5.94","8.76","2.3"
"Soup, minestrone, canned, reduced sodium, ready-to-serve","50","2","9","0.8"
"Soup, onion, dry, mix","293","7.48","65.07","0.34"
"Soup, oyster stew, canned, prepared with equal volume water","24","0.87","1.69","1.59"
"Soup, pea, green, canned, condensed","125","6.54","20.18","2.23"
"Soup, pea, green, canned, prepared with equal volume milk","94","4.97","12.69","2.77"
"Soup, pea, split with ham, canned, chunky, ready-to-serve","77","4.62","11.17","1.66"
"Soup, pea, split with ham, canned, condensed","141","7.68","20.81","3.28"
"Soup, pho, with meat","77","5.81","5.6","3.33"
"Soup, potato with meat","109","3.78","8.81","6.43"
"Soup, ramen noodle, any flavor, dry","440","10.17","60.26","17.59"
"Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium","350","10.89","70.95","2.5"
"Soup, sopa de fideo aguada","95","2.54","13.73","3.29"
"Soup, sopa or caldo de res","71","5.91","4.04","3.4"
"Soup, tomato beef with noodle, canned, condensed","112","3.55","16.87","3.42"
"Soup, tomato bisque, canned, condensed","96","1.76","18.47","1.95"
"Soup, tomato bisque, canned, prepared with equal volume milk","79","2.51","11.73","2.63"
"Soup, tomato rice, canned, condensed","93","1.64","17.08","2.12"
"Soup, tomato, canned, condensed","66","1.46","15.22","0.44"
"Soup, tomato, canned, condensed, reduced sodium","65","1.61","13.41","0.56"
"Soup, tortilla","102","4.22","12.56","4.17"
"Soup, vegetable beef, microwavable, ready-to-serve, single brand","44","6.2","3.3","0.7"
"Soupy rice mixture with chicken and potatoes, Puerto Rican style","112","6.34","12.07","4.26"
"Soupy rice with chicken, Puerto Rican style","151","12.07","16.47","4.04"
"Sour cream, fat free","74","3.1","15.6","0"
"Sour cream, imitation, cultured","208","2.4","6.63","19.52"
"Sour cream, light","136","3.5","7.1","10.6"
"Sour cream, reduced fat","181","7","7","14.1"
"Sour cream, regular","196","3.07","5.56","17.99"
"Sour dressing, non-butterfat, cultured, filled cream-type","178","3.25","4.68","16.57"
"Sourdock, young leaves (Alaska Native)","42","2.3","6.5","0.7"
"Soursop, nectar","59","0.11","14.93","0.17"
"Soursop, raw","66","1","16.84","0.3"
"Soy based sauce, for use with vegetables","89","1.65","20.07","0.15"
"Soy chips","385","26.5","53.15","7.35"
"Soy flour, defatted","327","51.46","33.92","1.22"
"Soy flour, full-fat, raw","434","37.81","31.92","20.65"
"Soy flour, full-fat, roasted","439","38.09","30.38","21.86"
"Soy flour, low-fat","372","49.81","30.63","8.9"
"Soy meal, defatted, raw","337","49.2","35.89","2.39"
"Soy milk, chocolate","64","3.35","8.32","2.03"
"Soy milk, sweetened","53","3.41","5.22","2.05"
"Soy milk, unsweetened","38","3.55","1.29","2.12"
"Soy nut butter","613","23.02","23","50.01"
"Soy nuts","469","38.55","30.22","25.4"
"Soy protein concentrate, produced by acid wash","328","63.63","25.41","0.46"
"Soy protein isolate","335","88.32","0","3.39"
"Soy protein isolate, potassium type","321","88.32","2.59","0.53"
"Soy sauce made from hydrolyzed vegetable protein","60","7","7.84","0.51"
"Soy sauce made from soy (tamari)","60","10.51","5.57","0.1"
"Soy sauce made from soy and wheat (shoyu)","53","8.14","4.93","0.57"
"Soy sauce, reduced sodium","57","9.05","5.59","0.3"
"Soy sauce, reduced sodium, made from hydrolyzed vegetable protein","90","8.19","14.44","0.31"
"Soybean curd","61","7.17","1.18","3.69"
"Soybean curd cheese","151","12.5","6.9","8.1"
"Soybean curd, breaded, fried","150","8.39","8.71","9.62"
"Soybean curd, deep fried","270","18.82","8.86","20.18"
"Soybean oil","900","0","0","100"
"Soybean, curd cheese","151","12.5","6.9","8.1"
"Soybeans, cooked","218","16.92","7.77","14.84"
"Soybeans, green, cooked, boiled, drained, with salt","141","12.35","11.05","6.4"
"Soybeans, mature cooked, boiled, without salt","172","18.21","8.36","8.97"
"Soybeans, mature seeds, dry roasted","449","43.32","28.98","21.62"
"Soybeans, mature seeds, raw","446","36.49","30.16","19.94"
"Soybeans, mature seeds, roasted, no salt added","469","38.55","30.22","25.4"
"Soybeans, mature seeds, sprouted, cooked, steamed, with salt","81","8.47","6.53","4.45"
"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt","125","13.1","9.4","7.1"
"Soymilk (All flavors), enhanced","45","2.94","3.45","1.99"
"Soymilk (All flavors), lowfat, with added calcium, vitamins A and D","43","1.65","7.2","0.62"
"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D","28","2.47","4.14","0.04"
"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D","33","2.86","1.74","1.61"
"Soymilk, chocolate, nonfat, with added calcium, vitamins A and D","44","2.47","8.51","0.04"
"Soymilk, chocolate, unfortified","63","2.26","9.95","1.53"
"Soymilk, original and vanilla, light, with added calcium, vitamins A and D","30","2.38","3.51","0.77"
"Soymilk, original and vanilla, unfortified","54","3.27","6.28","1.75"
"Soymilk, original and vanilla, with added calcium, vitamins A and D","43","2.6","4.92","1.47"
"Spaghetti and meatballs dinner, NFS, frozen meal","113","5.58","15.06","3.39"
"Spaghetti sauce with added vegetables","46","1.52","7.45","1.2"
"Spaghetti sauce with meat","90","5.94","6.54","4.36"
"Spaghetti sauce with meat and added vegetables","86","6.03","6.05","4.13"
"Spaghetti sauce with poultry","75","6.29","6.54","2.62"
"Spaghetti sauce with poultry and added vegetables","71","6.39","6.05","2.39"
"Spaghetti sauce with seafood","64","5.33","7.09","1.48"
"Spaghetti sauce with seafood and added vegetables","60","5.43","6.6","1.25"
"Spaghetti sauce, fat free","24","1.2","5.31","0.3"
"Spaghetti sauce, reduced sodium","51","1.41","8.06","1.48"
"Spaghetti squash, cooked","49","0.65","6.26","2.8"
"Spaghetti with meat sauce, diet frozen meal","113","5.58","15.06","3.39"
"Spaghetti with meat sauce, frozen entree","90","5.05","15.24","1.01"
"Spaghetti, protein-fortified, cooked, enriched (n x 6.25)","164","8.86","30.88","0.21"
"Spaghetti, protein-fortified, dry, enriched (n x 6.25)","374","21.78","65.65","2.23"
"Spaghetti, spinach, cooked","130","4.58","26.15","0.63"
"Spaghetti, spinach, dry","372","13.35","74.81","1.57"
"Spaghetti, with meatballs in tomato sauce, canned","100","4.37","11.45","4.11"
"Spam","315","13.4","4.6","26.6"
"Spam sandwich","266","10.03","27.64","12.83"
"Spam, reduced sodium","293","12.5","3.4","25.1"
"Spanakopita","212","8.27","10.35","15.15"
"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)","125","3.27","22.74","2.38"
"Spanish rice mix, dry mix, unprepared","363","10.62","76.45","1.62"
"Spanish rice with ground beef","163","9.68","14.79","6.91"
"Spanish rice, fat added","115","2.87","19.65","2.6"
"Spanish rice, from restaurant","185","3.28","31.16","5.29"
"Spanish rice, no added fat","101","2.91","19.91","1.01"
"Spearmint, dried","285","19.93","52.04","6.03"
"Spearmint, fresh","44","3.29","8.41","0.73"
"Spelt, cooked","127","5.5","26.44","0.85"
"Spelt, uncooked","338","14.57","70.19","2.43"
"Spices, allspice, ground","263","6.09","72.12","8.69"
"Spices, anise seed","337","17.6","50.02","15.9"
"Spices, basil, dried","233","22.98","47.75","4.07"
"Spices, bay leaf","313","7.61","74.97","8.36"
"Spices, caraway seed","333","19.77","49.9","14.59"
"Spices, cardamom","311","10.76","68.47","6.7"
"Spices, celery seed","392","18.07","41.35","25.27"
"Spices, chervil, dried","237","23.2","49.1","3.9"
"Spices, chili powder","282","13.46","49.7","14.28"
"Spices, cinnamon, ground","247","3.99","80.59","1.24"
"Spices, cloves, ground","274","5.97","65.53","13"
"Spices, coriander leaf, dried","279","21.93","52.1","4.78"
"Spices, coriander seed","298","12.37","54.99","17.77"
"Spices, cumin seed","375","17.81","44.24","22.27"
"Spices, curry powder","325","14.29","55.83","14.01"
"Spices, dill seed","305","15.98","55.17","14.54"
"Spices, dill weed, dried","253","19.96","55.82","4.36"
"Spices, fennel seed","345","15.8","52.29","14.87"
"Spices, fenugreek seed","323","23","58.35","6.41"
"Spices, garlic powder","331","16.55","72.73","0.73"
"Spices, ginger, ground","335","8.98","71.62","4.24"
"Spices, mace, ground","475","6.71","50.5","32.38"
"Spices, marjoram, dried","271","12.66","60.56","7.04"
"Spices, mustard seed, ground","508","26.08","28.09","36.24"
"Spices, nutmeg, ground","525","5.84","49.29","36.31"
"Spices, onion powder","341","10.41","79.12","1.04"
"Spices, oregano, dried","265","9","68.92","4.28"
"Spices, paprika","282","14.14","53.99","12.89"
"Spices, parsley, dried","292","26.63","50.64","5.48"
"Spices, pepper, black","251","10.39","63.95","3.26"
"Spices, pepper, red or cayenne","318","12.01","56.63","17.27"
"Spices, pepper, white","296","10.4","68.61","2.12"
"Spices, poppy seed","525","17.99","28.13","41.56"
"Spices, poultry seasoning","307","9.59","65.59","7.53"
"Spices, pumpkin pie spice","342","5.76","69.28","12.6"
"Spices, rosemary, dried","331","4.88","64.06","15.22"
"Spices, saffron","310","11.43","65.37","5.85"
"Spices, sage, ground","315","10.63","60.73","12.75"
"Spices, savory, ground","272","6.73","68.73","5.91"
"Spices, tarragon, dried","295","22.77","50.22","7.24"
"Spices, thyme, dried","276","9.11","63.94","7.43"
"Spices, turmeric, ground","312","9.68","67.14","3.25"
"Spinach and artichoke dip","329","4.21","5.07","32.76"
"Spinach and cheese casserole","130","7.05","9.86","7.59"
"Spinach dip, light","165","2.2","11.42","12.41"
"Spinach dip, regular","345","2.35","3.44","35.83"
"Spinach dip, yogurt based","159","7.02","3.59","12.96"
"Spinach quiche, meatless","299","10.29","11.68","23.51"
"Spinach salad, no dressing","84","7.02","2.09","5.07"
