"Item + description (per 100g)","Calories (kcal per 100g)","Protein (g per 100g)","Carbs (g per 100g)","Fats (g per 100g)"
"Bacon or side pork, fresh, cooked","468","33.92","1.7","35.09"
"Bacon strip, meatless","309","11.69","5.31","29.52"
"Bacon, for use on a sandwich","494","39.36","2.01","36.19"
"Bacon, for use with vegetables","468","33.92","1.7","35.09"
"Bacon, lettuce, tomato sandwich on wheat","229","12.02","27.53","7.76"
"Bacon, lettuce, tomato sandwich on white","231","10.89","29.71","7.54"
"Bacon, meatless","309","11.69","5.31","29.52"
"Bacon, NS as to type of meat, cooked","484","37.41","1.9","35.8"
"Bacon, NS as to type of meat, reduced sodium, cooked","253","13.33","4.8","20"
"Bacon, pre-sliced, reduced/low sodium, unprepared","407","12.53","0.83","39.27"
"Bacon, turkey, microwaved","368","29.5","4.24","25.87"
"Bacon, turkey, unprepared","226","15.94","1.89","16.93"
"Bagel","264","10.56","52.38","1.32"
"Bagel chips","451","12.34","66.36","15.14"
"Bagel, multigrain","250","10.2","48.89","1.53"
"Bagel, multigrain, with raisins","255","9.51","51.93","1.4"
"Bagel, wheat, with fruit and nuts","263","9.52","50.78","2.77"
"Bagel, with raisins","268","9.83","55.07","1.21"
"Bagels, cinnamon-raisin","274","9.8","55.2","1.7"
"Bagels, cinnamon-raisin, toasted","294","10.6","59.3","1.8"
"Bagels, egg","278","10.6","53","2.1"
"Bagels, multigrain","241","9.9","47.47","1.24"
"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted","287","11.14","57.39","1.43"
"Bagels, wheat","250","10.2","48.89","1.53"
"Bagels, whole grain white","255","9.3","54.52","0"
"Baked beans","105","4.52","21.57","0.89"
"Baked beans from fast food / restaurant","116","4.38","23.29","1.35"
"Baked beans, reduced sodium","104","4.77","20.35","0.4"
"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits","502","4.78","68.4","23.36"
"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits","517","4.44","65.96","26.15"
"Baking chocolate, mexican, squares","426","3.64","77.41","15.59"
"Baking chocolate, unsweetened, liquid","472","12.1","36.2","47.7"
"Baking chocolate, unsweetened, squares","642","14.32","28.42","52.31"
"Baklava","440","6.58","37.55","29.34"
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt","32","3.6","6.16","0.2"
"Balsam-pear (bitter gourd), leafy tips, raw","30","5.3","3.29","0.69"
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt","19","0.84","4.32","0.18"
"Bamboo shoots, canned, drained solids","19","1.72","3.22","0.4"
"Bamboo shoots, cooked","41","1.68","3.13","2.94"
